time (ms),linescan_near,velocity (m/s)
329,"[13, 17, 17, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 22, 26, 24, 24, 24, 24, 23, 22, 22, 22, 23, 22, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 21, 19, 20, 22, 20, 20, 18, 17, 17, 17, 18]",0
344,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 22, 26, 24, 24, 24, 24, 23, 22, 22, 22, 23, 22, 23, 23, 22, 24, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 20, 18, 17, 18, 17, 18]",0
359,"[13, 17, 17, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 23, 24, 24, 23, 22, 22, 22, 23, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 20, 18, 17, 17, 17, 18]",0
374,"[13, 17, 16, 16, 15, 15, 16, 18, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 24, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 22, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 26, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 23, 23, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 21, 19, 19, 22, 20, 20, 18, 17, 18, 17, 18]",0
389,"[13, 17, 17, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 22, 23, 22, 23, 22, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 26, 28, 25, 23, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 77, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 20, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 21, 19, 19, 22, 20, 19, 18, 17, 18, 17, 18]",0
404,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 23, 22, 22, 22, 22, 23, 23, 22, 24, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 19, 22, 20, 20, 18, 18, 17, 17, 18]",0
419,"[14, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 22, 26, 24, 24, 24, 24, 23, 22, 22, 22, 23, 22, 23, 23, 23, 24, 23, 23, 23, 23, 24, 23, 22, 21, 21, 21, 19, 19, 22, 20, 20, 18, 17, 17, 17, 18]",0
434,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 22, 22, 22, 23, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 19, 18, 18, 18, 17, 18]",0
449,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 26, 28, 25, 23, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 77, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 24, 23, 22, 23, 24, 23, 22, 21, 21, 21, 19, 19, 22, 20, 19, 19, 17, 17, 17, 18]",0
464,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 22, 23, 22, 23, 22, 23, 23, 24, 25, 25, 23, 24, 25, 23, 23, 24, 24, 25, 25, 26, 28, 25, 23, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 23, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 19, 22, 20, 19, 18, 17, 18, 17, 18]",0
