time (ms),linescan_near,velocity (m/s)
5894,"[13, 16, 16, 16, 15, 16, 17, 19, 22, 24, 24, 25, 26, 26, 27, 26, 26, 27, 27, 28, 28, 28, 28, 28, 27, 27, 27, 26, 26, 26, 26, 35, 50, 57, 49, 34, 25, 25, 25, 25, 24, 23, 23, 23, 23, 24, 23, 23, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 21, 20, 20, 19, 19, 19, 18, 18, 19, 18, 18, 18, 17, 18, 17, 17, 17, 18, 17, 18, 17, 17, 15, 15, 14, 14, 15, 15, 17, 17, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 17, 16, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 18, 19, 19, 19, 18, 17, 18, 19, 20]",3.616962433
5909,"[13, 16, 16, 16, 16, 16, 17, 19, 22, 24, 24, 25, 27, 26, 26, 26, 27, 27, 27, 27, 27, 28, 29, 29, 28, 27, 26, 26, 26, 26, 25, 26, 25, 25, 31, 44, 53, 52, 40, 28, 25, 25, 25, 24, 24, 23, 23, 23, 23, 23, 23, 22, 22, 22, 22, 22, 21, 21, 22, 22, 22, 22, 21, 21, 21, 20, 20, 20, 20, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 17, 17, 17, 16, 15, 14, 14, 14, 15, 15, 16, 17, 17, 17, 18, 18, 17, 17, 18, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 17, 17, 16, 17, 17, 17, 18, 20, 19, 19, 18, 17, 18, 19, 19]",4.340354443
5924,"[14, 16, 16, 16, 16, 16, 18, 20, 23, 24, 24, 25, 27, 28, 28, 27, 27, 28, 28, 28, 28, 27, 27, 28, 28, 28, 28, 27, 26, 25, 25, 26, 25, 25, 25, 25, 25, 26, 35, 46, 52, 50, 40, 28, 26, 25, 25, 25, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 22, 22, 22, 21, 21, 21, 21, 21, 21, 21, 21, 21, 20, 20, 19, 19, 19, 20, 19, 19, 19, 19, 18, 18, 19, 19, 19, 18, 18, 17, 17, 16, 16, 16, 16, 17, 17, 17, 17, 16, 17, 16, 17, 17, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 18, 20, 19, 19, 18, 17, 18, 19, 20]",3.978658199
5939,"[13, 17, 17, 16, 16, 16, 18, 20, 23, 25, 25, 25, 27, 28, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27, 26, 26, 24, 25, 24, 25, 25, 25, 25, 25, 25, 26, 35, 46, 50, 49, 43, 31, 25, 25, 25, 24, 24, 23, 22, 23, 22, 22, 23, 23, 23, 22, 22, 22, 21, 21, 21, 20, 20, 20, 21, 21, 21, 21, 21, 21, 20, 19, 20, 20, 20, 20, 20, 19, 19, 18, 18, 18, 18, 19, 18, 18, 18, 17, 17, 17, 17, 18, 18, 18, 17, 17, 17, 17, 18, 17, 17, 17, 18, 17, 18, 17, 18, 18, 18, 17, 18, 17, 17, 18, 20, 19, 19, 18, 17, 18, 19, 20]",3.978658199
5954,"[13, 17, 16, 16, 16, 16, 18, 21, 24, 26, 26, 26, 27, 28, 28, 28, 29, 30, 30, 29, 29, 28, 28, 28, 27, 27, 26, 26, 26, 26, 26, 27, 26, 26, 25, 24, 24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 31, 41, 48, 47, 46, 39, 29, 25, 24, 24, 24, 23, 23, 22, 22, 22, 21, 22, 22, 22, 21, 22, 21, 21, 20, 20, 20, 20, 20, 20, 21, 21, 21, 21, 21, 20, 20, 20, 20, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 18, 18, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 16, 17, 17, 17, 18, 20, 19, 19, 18, 17, 18, 18, 20]",4.340354443
5969,"[13, 16, 16, 16, 16, 16, 18, 21, 24, 25, 26, 26, 27, 28, 28, 28, 29, 30, 30, 30, 30, 29, 29, 29, 28, 28, 27, 27, 27, 26, 25, 26, 25, 26, 26, 26, 26, 25, 24, 24, 24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 25, 31, 40, 46, 45, 45, 40, 31, 25, 24, 23, 23, 23, 23, 22, 21, 21, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 20, 20, 20, 20, 20, 20, 21, 21, 21, 21, 20, 20, 19, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 18, 18, 18, 18, 17, 17, 17, 17, 17, 17, 17, 17, 18, 20, 20, 18, 18, 17, 18, 19, 20]",3.978658199
5984,"[13, 17, 16, 16, 16, 16, 18, 20, 22, 24, 26, 26, 27, 27, 28, 28, 28, 29, 30, 30, 30, 30, 29, 28, 27, 26, 25, 25, 25, 25, 25, 26, 26, 26, 25, 25, 25, 26, 26, 26, 26, 26, 25, 24, 23, 23, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27, 36, 44, 44, 43, 43, 36, 28, 23, 23, 22, 23, 23, 22, 22, 21, 21, 21, 21, 21, 22, 21, 21, 21, 22, 21, 21, 20, 20, 20, 19, 19, 20, 20, 20, 20, 20, 20, 20, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17, 18, 17, 17, 17, 17, 17, 18, 20, 20, 19, 18, 17, 18, 19, 20]",4.340354443
5999,"[13, 16, 16, 16, 16, 16, 18, 20, 23, 25, 26, 26, 27, 28, 28, 28, 29, 30, 30, 30, 30, 30, 29, 29, 29, 29, 28, 27, 26, 25, 24, 24, 24, 25, 25, 26, 26, 26, 25, 25, 25, 25, 26, 26, 26, 25, 25, 24, 23, 22, 23, 23, 24, 24, 25, 25, 24, 24, 25, 24, 24, 24, 29, 37, 43, 42, 42, 41, 34, 25, 22, 22, 22, 22, 22, 22, 22, 21, 21, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 20, 20, 20, 19, 19, 19, 19, 20, 20, 19, 20, 20, 19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 18, 19, 21, 20, 19, 18, 18, 18, 19, 20]",3.978658199
6014,"[14, 17, 16, 16, 16, 17, 18, 21, 24, 25, 26, 27, 28, 29, 29, 29, 30, 31, 32, 32, 32, 31, 30, 29, 28, 28, 27, 27, 28, 28, 28, 28, 28, 27, 26, 26, 26, 26, 26, 25, 25, 25, 25, 25, 26, 26, 26, 27, 26, 26, 25, 25, 24, 23, 22, 22, 23, 23, 24, 24, 24, 24, 24, 24, 24, 23, 23, 24, 30, 39, 43, 43, 43, 40, 31, 23, 22, 22, 22, 22, 23, 22, 22, 21, 21, 21, 21, 20, 20, 21, 21, 21, 21, 21, 21, 20, 20, 20, 19, 19, 19, 19, 19, 19, 20, 19, 20, 20, 19, 19, 19, 19, 19, 18, 18, 17, 18, 18, 18, 19, 21, 20, 19, 19, 18, 18, 20, 20]",3.978658199
6029,"[16, 17, 17, 16, 16, 17, 18, 21, 24, 26, 26, 26, 28, 29, 29, 29, 29, 31, 31, 31, 31, 32, 32, 32, 31, 30, 28, 27, 26, 26, 26, 26, 26, 27, 27, 27, 27, 27, 26, 26, 26, 25, 25, 25, 24, 24, 24, 25, 25, 25, 26, 26, 26, 26, 25, 25, 24, 23, 23, 22, 22, 22, 22, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 33, 41, 45, 45, 44, 35, 25, 21, 22, 22, 22, 22, 21, 21, 21, 21, 20, 20, 20, 20, 20, 20, 20, 21, 20, 21, 20, 20, 20, 19, 20, 19, 19, 19, 19, 19, 20, 20, 20, 19, 18, 18, 18, 19, 19, 20, 22, 21, 20, 19, 18, 18, 19, 20]",4.340354443
6044,"[16, 17, 17, 17, 17, 17, 19, 21, 24, 26, 26, 27, 28, 29, 30, 30, 30, 31, 31, 31, 30, 30, 30, 31, 32, 31, 30, 29, 28, 27, 27, 27, 26, 26, 25, 25, 25, 25, 26, 25, 25, 26, 26, 26, 25, 25, 24, 24, 24, 23, 23, 24, 24, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22, 21, 21, 21, 21, 22, 22, 23, 23, 23, 23, 23, 23, 22, 22, 21, 23, 32, 42, 47, 48, 43, 33, 23, 21, 21, 21, 22, 22, 22, 21, 21, 20, 20, 20, 20, 19, 20, 19, 20, 20, 20, 20, 20, 20, 20, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 20, 24, 22, 21, 20, 18, 19, 20, 20]",3.978658199
6059,"[17, 17, 17, 17, 17, 17, 18, 21, 25, 26, 28, 29, 28, 28, 29, 30, 31, 31, 31, 30, 30, 30, 29, 29, 29, 30, 30, 31, 30, 29, 28, 28, 27, 27, 26, 26, 25, 25, 25, 24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 24, 23, 23, 23, 23, 23, 23, 24, 24, 25, 24, 25, 25, 24, 24, 23, 22, 21, 21, 20, 20, 21, 22, 23, 23, 23, 23, 22, 22, 21, 21, 22, 21, 21, 26, 37, 49, 54, 46, 33, 22, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 20, 20, 20, 19, 19, 19, 20, 20, 21, 20, 20, 20, 19, 19, 18, 18, 18, 18, 19, 20, 23, 21, 21, 19, 18, 19, 20, 20]",4.340354443
6074,"[16, 17, 18, 17, 17, 17, 19, 21, 25, 27, 28, 30, 31, 28, 27, 28, 30, 31, 30, 31, 31, 30, 29, 29, 29, 28, 28, 28, 29, 29, 29, 28, 27, 27, 26, 26, 26, 26, 26, 25, 25, 25, 24, 24, 24, 24, 25, 26, 25, 25, 25, 24, 24, 23, 23, 23, 23, 23, 23, 23, 24, 24, 24, 24, 24, 24, 24, 23, 22, 21, 20, 19, 20, 21, 22, 23, 23, 22, 21, 21, 22, 21, 21, 21, 22, 21, 21, 28, 41, 54, 53, 41, 26, 21, 21, 21, 21, 21, 21, 22, 21, 21, 21, 20, 20, 20, 20, 19, 19, 19, 20, 21, 21, 20, 19, 19, 18, 18, 18, 20, 22, 21, 20, 19, 18, 19, 20, 20]",3.978658199
6089,"[16, 17, 17, 17, 16, 17, 18, 21, 25, 28, 28, 31, 33, 28, 23, 25, 27, 30, 31, 30, 31, 31, 30, 29, 28, 28, 28, 28, 28, 28, 28, 28, 28, 27, 26, 26, 25, 25, 26, 26, 26, 25, 25, 25, 24, 24, 24, 24, 24, 25, 26, 24, 24, 25, 24, 23, 22, 22, 23, 22, 23, 23, 23, 24, 24, 24, 24, 24, 24, 23, 22, 21, 20, 19, 19, 20, 21, 22, 21, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 21, 26, 41, 58, 57, 40, 23, 22, 21, 21, 22, 21, 21, 21, 20, 21, 21, 21, 20, 20, 20, 20, 20, 20, 19, 19, 19, 20, 19, 18, 20, 22, 21, 20, 19, 18, 19, 20, 20]",3.978658199
6104,"[16, 17, 17, 17, 16, 17, 19, 21, 25, 27, 28, 31, 33, 32, 26, 21, 24, 30, 30, 30, 31, 30, 29, 29, 28, 28, 28, 28, 27, 28, 28, 27, 27, 27, 27, 26, 26, 24, 24, 25, 25, 26, 26, 24, 25, 24, 23, 24, 24, 24, 24, 26, 24, 23, 24, 24, 23, 22, 22, 22, 22, 22, 22, 22, 24, 23, 24, 25, 24, 24, 22, 22, 22, 21, 21, 20, 20, 19, 20, 21, 21, 20, 21, 21, 21, 21, 21, 21, 21, 21, 22, 23, 23, 37, 56, 63, 42, 24, 22, 21, 20, 20, 20, 20, 20, 21, 21, 21, 21, 21, 20, 20, 20, 19, 18, 18, 19, 18, 18, 19, 22, 20, 20, 20, 18, 19, 20, 20]",4.340354443
6119,"[17, 17, 17, 16, 16, 17, 18, 21, 24, 26, 28, 30, 30, 28, 27, 27, 28, 29, 29, 28, 29, 29, 28, 29, 28, 28, 28, 27, 27, 28, 27, 28, 26, 26, 26, 26, 25, 25, 24, 25, 25, 26, 26, 24, 24, 25, 23, 23, 24, 24, 23, 25, 25, 23, 23, 24, 23, 22, 22, 22, 22, 22, 21, 22, 23, 23, 23, 25, 24, 23, 21, 22, 22, 23, 23, 22, 21, 19, 19, 19, 20, 19, 20, 21, 22, 21, 22, 22, 22, 22, 22, 22, 23, 23, 24, 55, 67, 47, 23, 21, 21, 21, 21, 20, 20, 20, 20, 20, 20, 21, 22, 22, 20, 19, 19, 19, 18, 18, 18, 19, 22, 20, 20, 20, 19, 19, 20, 20]",3.978658199
6134,"[17, 17, 17, 16, 16, 17, 18, 21, 24, 26, 27, 28, 27, 27, 28, 29, 28, 28, 28, 27, 27, 27, 28, 28, 27, 28, 27, 27, 27, 29, 27, 27, 25, 26, 26, 24, 25, 25, 25, 24, 25, 26, 25, 24, 24, 24, 23, 23, 23, 23, 24, 25, 24, 24, 24, 23, 22, 22, 22, 22, 21, 22, 22, 22, 22, 23, 22, 23, 22, 22, 23, 23, 23, 22, 21, 21, 22, 21, 21, 20, 20, 20, 21, 21, 23, 23, 22, 23, 23, 22, 21, 22, 21, 22, 22, 45, 66, 60, 28, 21, 20, 20, 20, 21, 20, 20, 21, 21, 21, 21, 21, 22, 21, 20, 19, 18, 19, 18, 18, 19, 22, 21, 20, 19, 18, 19, 19, 20]",4.340354443
6149,"[15, 17, 17, 16, 16, 17, 18, 21, 24, 25, 26, 26, 28, 28, 28, 26, 27, 27, 27, 27, 26, 28, 27, 27, 28, 27, 27, 28, 28, 27, 25, 25, 25, 26, 24, 26, 25, 25, 24, 25, 25, 25, 24, 24, 23, 23, 23, 23, 23, 24, 25, 24, 25, 24, 22, 22, 22, 22, 23, 22, 22, 22, 23, 23, 22, 21, 21, 22, 23, 23, 22, 22, 22, 21, 22, 22, 22, 22, 22, 23, 23, 23, 23, 23, 23, 22, 22, 22, 22, 22, 22, 22, 21, 21, 31, 60, 66, 37, 21, 22, 21, 21, 22, 22, 22, 21, 22, 21, 21, 21, 21, 20, 20, 19, 19, 19, 18, 18, 18, 19, 22, 20, 20, 20, 18, 19, 20, 20]",3.978658199
6164,"[16, 17, 17, 16, 16, 16, 18, 21, 24, 25, 26, 26, 27, 26, 26, 26, 26, 26, 27, 27, 27, 27, 28, 27, 27, 27, 26, 26, 25, 24, 25, 26, 26, 26, 26, 25, 25, 24, 25, 25, 24, 23, 24, 23, 23, 23, 23, 23, 24, 24, 25, 24, 23, 23, 22, 23, 22, 23, 23, 23, 23, 22, 22, 22, 22, 21, 21, 22, 21, 22, 22, 22, 22, 22, 22, 23, 24, 24, 24, 23, 22, 22, 22, 22, 22, 22, 21, 22, 21, 21, 22, 22, 23, 40, 62, 59, 35, 23, 23, 23, 22, 22, 22, 21, 21, 21, 21, 21, 21, 20, 20, 20, 20, 19, 18, 19, 19, 18, 18, 19, 22, 20, 20, 20, 18, 19, 19, 20]",4.340354443
6179,"[16, 17, 17, 16, 16, 16, 18, 21, 23, 24, 25, 25, 26, 25, 26, 26, 26, 27, 27, 26, 26, 26, 26, 25, 25, 25, 24, 25, 26, 26, 26, 26, 26, 25, 24, 24, 24, 24, 23, 23, 23, 22, 23, 23, 23, 23, 24, 24, 25, 24, 23, 22, 22, 23, 23, 23, 23, 23, 23, 22, 22, 22, 23, 22, 21, 21, 21, 21, 21, 22, 23, 23, 24, 24, 24, 23, 23, 22, 23, 23, 23, 21, 22, 22, 22, 22, 23, 23, 23, 23, 26, 43, 59, 57, 37, 24, 23, 22, 22, 22, 21, 21, 21, 21, 21, 21, 21, 21, 21, 20, 20, 20, 19, 19, 18, 19, 19, 18, 18, 19, 22, 20, 20, 19, 18, 19, 19, 19]",3.978658199
6194,"[16, 17, 17, 16, 16, 16, 17, 20, 23, 24, 25, 25, 26, 25, 25, 24, 24, 25, 25, 25, 25, 25, 25, 25, 25, 26, 27, 27, 26, 25, 25, 25, 24, 24, 24, 23, 23, 23, 22, 22, 22, 22, 23, 24, 24, 24, 24, 24, 23, 22, 22, 23, 23, 23, 23, 23, 22, 22, 23, 22, 22, 22, 22, 22, 22, 21, 21, 22, 22, 23, 23, 23, 23, 23, 23, 23, 22, 23, 23, 22, 23, 23, 24, 24, 24, 24, 24, 28, 41, 53, 52, 41, 28, 22, 22, 22, 22, 21, 21, 22, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 20, 20, 19, 19, 19, 18, 18, 19, 22, 20, 20, 20, 18, 18, 19, 19]",3.978658199
6209,"[17, 17, 17, 16, 16, 16, 17, 20, 22, 23, 24, 23, 24, 24, 24, 24, 24, 26, 26, 25, 24, 25, 25, 26, 26, 26, 25, 25, 24, 23, 23, 24, 24, 23, 22, 22, 22, 22, 22, 22, 23, 24, 24, 24, 24, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 22, 23, 22, 22, 22, 22, 22, 22, 22, 23, 22, 22, 22, 21, 21, 21, 22, 22, 22, 23, 23, 23, 24, 24, 24, 25, 24, 24, 24, 27, 40, 54, 55, 41, 26, 23, 22, 22, 22, 22, 22, 22, 21, 21, 22, 21, 21, 21, 22, 22, 22, 21, 20, 22, 22, 22, 19, 17, 18, 18, 19, 19, 18, 18, 19, 22, 20, 20, 20, 18, 19, 19, 19]",3.255265951
6224,"[14, 18, 17, 17, 16, 16, 17, 20, 22, 24, 24, 24, 24, 24, 24, 24, 24, 24, 25, 25, 26, 26, 26, 25, 25, 24, 24, 23, 23, 23, 23, 23, 22, 22, 22, 22, 22, 23, 23, 23, 24, 24, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 22, 23, 23, 22, 22, 22, 22, 22, 22, 23, 23, 23, 22, 22, 22, 22, 21, 21, 21, 22, 22, 23, 24, 24, 25, 24, 24, 24, 25, 26, 39, 54, 55, 40, 26, 23, 23, 23, 23, 23, 22, 22, 22, 22, 23, 23, 23, 24, 23, 21, 22, 23, 23, 24, 24, 21, 19, 17, 14, 12, 11, 13, 18, 19, 20, 20, 19, 20, 22, 21, 20, 20, 18, 18, 19, 19]",3.978658199
6239,"[14, 18, 18, 16, 16, 16, 17, 20, 23, 24, 24, 23, 24, 25, 24, 24, 23, 25, 26, 26, 25, 25, 25, 24, 24, 23, 23, 23, 23, 22, 23, 22, 22, 22, 22, 23, 23, 24, 24, 24, 24, 24, 24, 23, 24, 24, 24, 23, 22, 22, 23, 23, 22, 23, 22, 23, 22, 23, 24, 23, 23, 22, 22, 22, 22, 21, 21, 21, 21, 22, 23, 23, 24, 23, 24, 23, 23, 23, 24, 25, 37, 56, 60, 38, 25, 23, 24, 23, 22, 22, 22, 22, 22, 23, 23, 23, 23, 23, 24, 24, 23, 22, 21, 22, 23, 24, 24, 22, 18, 13, 10, 10, 10, 14, 19, 19, 20, 20, 19, 20, 23, 21, 20, 20, 18, 18, 19, 19]",3.978658199
6254,"[14, 17, 18, 16, 16, 16, 17, 20, 22, 24, 24, 24, 25, 24, 24, 23, 25, 27, 26, 25, 25, 25, 24, 24, 25, 24, 23, 23, 23, 22, 22, 22, 23, 24, 23, 24, 24, 24, 24, 24, 23, 21, 22, 23, 24, 24, 24, 24, 24, 22, 23, 23, 23, 22, 23, 23, 23, 23, 23, 22, 22, 22, 21, 21, 21, 21, 21, 22, 23, 23, 23, 23, 23, 22, 23, 23, 23, 24, 30, 49, 64, 49, 30, 24, 24, 23, 23, 22, 22, 22, 21, 22, 22, 22, 23, 23, 23, 23, 23, 24, 23, 21, 22, 22, 23, 24, 22, 21, 17, 13, 10, 10, 10, 15, 18, 19, 20, 19, 19, 20, 22, 21, 20, 20, 18, 18, 19, 19]",3.616962433
6269,"[14, 17, 17, 16, 16, 16, 17, 20, 22, 24, 24, 24, 24, 24, 23, 24, 26, 26, 26, 25, 24, 24, 25, 25, 23, 24, 23, 22, 23, 23, 23, 25, 25, 25, 24, 24, 23, 23, 21, 19, 19, 20, 22, 24, 24, 25, 24, 24, 23, 24, 23, 25, 24, 25, 23, 23, 22, 23, 23, 22, 22, 22, 21, 22, 22, 23, 22, 23, 22, 23, 23, 23, 22, 22, 21, 23, 28, 47, 66, 53, 32, 24, 24, 23, 23, 23, 23, 23, 21, 22, 21, 22, 23, 24, 24, 22, 22, 22, 23, 24, 23, 22, 21, 22, 23, 23, 23, 21, 17, 12, 10, 9, 10, 14, 18, 18, 19, 18, 18, 20, 21, 20, 20, 19, 18, 18, 19, 19]",3.255265951
6284,"[14, 17, 17, 16, 16, 16, 17, 20, 22, 24, 24, 24, 24, 23, 23, 24, 24, 24, 24, 24, 24, 25, 24, 23, 23, 23, 23, 23, 23, 24, 25, 26, 25, 25, 25, 24, 21, 19, 20, 21, 23, 24, 24, 24, 24, 24, 24, 23, 24, 24, 24, 25, 25, 24, 24, 23, 23, 22, 22, 22, 22, 23, 23, 24, 24, 24, 22, 22, 22, 22, 23, 22, 22, 22, 25, 42, 62, 61, 40, 25, 24, 23, 22, 22, 23, 23, 22, 22, 21, 23, 23, 24, 23, 23, 24, 23, 23, 23, 23, 23, 23, 23, 22, 21, 22, 23, 24, 22, 20, 12, 10, 10, 10, 11, 16, 18, 19, 18, 18, 19, 22, 20, 20, 20, 18, 18, 19, 19]",3.616962433
6299,"[14, 18, 17, 16, 16, 16, 17, 20, 22, 24, 25, 24, 25, 24, 24, 24, 24, 24, 24, 24, 25, 24, 24, 23, 23, 24, 24, 25, 25, 25, 25, 25, 24, 23, 21, 20, 21, 23, 25, 25, 25, 25, 25, 24, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 22, 22, 21, 21, 23, 27, 44, 61, 59, 41, 26, 23, 23, 23, 22, 23, 22, 23, 22, 23, 23, 23, 24, 24, 25, 24, 24, 23, 23, 24, 24, 23, 23, 22, 23, 23, 22, 21, 21, 22, 23, 23, 16, 10, 10, 10, 10, 12, 18, 18, 18, 18, 19, 22, 20, 20, 20, 18, 18, 19, 19]",4.340354443
6314,"[14, 17, 18, 16, 16, 16, 18, 21, 24, 25, 26, 25, 25, 25, 25, 24, 24, 24, 25, 25, 24, 25, 24, 23, 23, 24, 26, 27, 27, 26, 26, 26, 24, 23, 23, 24, 24, 25, 25, 26, 25, 24, 25, 24, 24, 24, 24, 24, 23, 23, 22, 23, 22, 22, 23, 24, 23, 24, 24, 25, 24, 24, 24, 23, 22, 22, 22, 22, 21, 24, 37, 55, 62, 47, 31, 24, 23, 22, 23, 23, 23, 22, 22, 23, 23, 24, 24, 23, 23, 23, 24, 24, 24, 25, 25, 24, 23, 23, 23, 24, 22, 22, 23, 23, 23, 21, 22, 22, 21, 20, 14, 11, 11, 11, 11, 14, 18, 17, 18, 19, 21, 20, 20, 20, 18, 18, 19, 19]",2.170177221
6329,"[14, 17, 17, 16, 16, 16, 18, 21, 24, 24, 25, 25, 26, 25, 25, 24, 24, 26, 25, 24, 24, 24, 24, 23, 25, 26, 26, 26, 26, 26, 26, 27, 26, 26, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 24, 24, 24, 25, 24, 24, 23, 23, 23, 22, 22, 23, 23, 23, 23, 22, 24, 24, 24, 23, 23, 23, 22, 24, 31, 51, 65, 52, 32, 23, 23, 23, 22, 22, 22, 22, 23, 23, 24, 25, 23, 24, 24, 24, 23, 23, 23, 24, 23, 24, 24, 24, 25, 24, 23, 24, 23, 23, 22, 23, 23, 22, 21, 22, 22, 21, 21, 16, 11, 11, 11, 10, 16, 18, 18, 18, 20, 20, 20, 20, 18, 19, 19, 19]",3.978658199
6344,"[14, 17, 17, 16, 16, 16, 17, 21, 23, 24, 25, 24, 25, 24, 24, 24, 24, 24, 25, 24, 24, 24, 24, 25, 25, 26, 25, 26, 25, 25, 26, 27, 26, 26, 25, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 25, 24, 25, 25, 24, 24, 23, 23, 23, 23, 23, 22, 22, 23, 23, 22, 23, 23, 23, 22, 23, 25, 42, 64, 63, 41, 24, 23, 23, 22, 22, 22, 22, 22, 22, 23, 23, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 23, 24, 23, 24, 23, 24, 25, 24, 23, 23, 23, 22, 22, 21, 21, 21, 22, 22, 21, 21, 18, 13, 11, 11, 13, 15, 17, 19, 21, 20, 19, 19, 18, 18, 19, 19]",2.893569708
6359,"[14, 17, 17, 17, 16, 16, 18, 20, 22, 24, 24, 24, 24, 24, 23, 24, 22, 24, 24, 24, 24, 26, 26, 26, 26, 25, 25, 25, 25, 25, 26, 26, 26, 26, 27, 26, 26, 25, 25, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 25, 23, 24, 24, 23, 23, 23, 23, 22, 22, 22, 22, 22, 22, 27, 48, 67, 57, 35, 24, 23, 22, 22, 22, 22, 23, 22, 23, 22, 23, 23, 24, 24, 25, 24, 25, 25, 25, 24, 23, 24, 23, 24, 23, 22, 23, 23, 23, 24, 24, 24, 23, 22, 22, 21, 21, 21, 21, 22, 22, 22, 21, 21, 18, 14, 13, 14, 16, 19, 22, 20, 20, 19, 18, 18, 19, 19]",4.340354443
6374,"[14, 17, 17, 16, 16, 16, 18, 20, 22, 24, 25, 24, 25, 24, 24, 23, 24, 24, 24, 24, 25, 27, 27, 27, 27, 27, 26, 25, 25, 25, 25, 26, 25, 26, 26, 26, 27, 27, 26, 26, 25, 25, 25, 25, 24, 24, 24, 24, 24, 24, 23, 24, 24, 24, 25, 24, 25, 24, 23, 22, 22, 23, 23, 23, 36, 58, 67, 49, 28, 24, 23, 23, 23, 22, 22, 23, 24, 24, 24, 24, 24, 24, 24, 23, 24, 24, 24, 24, 25, 25, 25, 25, 23, 23, 24, 24, 23, 23, 23, 23, 23, 22, 22, 22, 22, 21, 22, 22, 21, 21, 22, 22, 22, 21, 20, 19, 17, 15, 16, 19, 22, 20, 20, 19, 18, 18, 19, 19]",2.531873465
6389,"[14, 17, 17, 16, 16, 16, 18, 21, 23, 24, 25, 25, 26, 25, 25, 24, 24, 24, 24, 25, 26, 26, 26, 26, 26, 27, 27, 28, 27, 26, 25, 26, 25, 25, 26, 26, 26, 26, 26, 26, 26, 27, 27, 25, 25, 25, 25, 25, 25, 24, 24, 25, 24, 24, 25, 24, 23, 24, 24, 24, 25, 24, 32, 51, 66, 57, 37, 24, 22, 23, 23, 23, 24, 23, 24, 24, 25, 25, 25, 25, 25, 24, 24, 25, 25, 24, 23, 23, 23, 24, 24, 24, 24, 25, 24, 24, 23, 24, 23, 22, 22, 21, 21, 21, 22, 23, 22, 22, 22, 21, 21, 22, 22, 21, 21, 19, 20, 18, 18, 19, 22, 20, 20, 20, 18, 19, 19, 19]",3.978658199
6404,"[14, 17, 17, 16, 16, 16, 18, 21, 24, 25, 26, 26, 26, 25, 25, 25, 24, 25, 26, 27, 28, 26, 26, 26, 26, 26, 26, 27, 27, 27, 27, 27, 26, 26, 26, 26, 25, 25, 25, 25, 25, 25, 26, 26, 26, 26, 26, 27, 26, 25, 25, 25, 25, 25, 23, 23, 24, 23, 24, 23, 33, 53, 66, 57, 38, 26, 23, 24, 23, 23, 23, 24, 25, 25, 25, 24, 24, 24, 24, 24, 25, 25, 26, 26, 26, 25, 24, 24, 24, 24, 23, 23, 23, 23, 24, 24, 24, 24, 22, 22, 21, 21, 21, 21, 22, 21, 22, 22, 23, 22, 22, 21, 21, 21, 20, 19, 19, 18, 18, 19, 21, 20, 20, 20, 18, 19, 19, 19]",2.531873465
